timestamp,event subtype,RSSI
1658955711.547440,44,-43
1658955711.806240,44,-43
1658955711.951490,44,-43
1658955711.954880,44,-43
1658955711.956630,44,-43
1658955722.123650,4,-49
1658955722.123660,4,-49
1658955722.193430,4,-51
1658955722.193430,4,-51
1658955722.195110,4,-95
1658955722.208840,4,-51
1658955722.334810,36,-47
1658955722.337630,36,-51
1658955722.337630,36,-51
1658955722.338780,44,-51
1658955722.340080,44,-51
1658955722.340090,44,-55
1658955723.065580,44,-43
1658955723.065590,44,-43
1658955723.067110,44,-39
1658955723.438730,44,-39
1658955723.438740,44,-39
1658955723.813430,44,-39
1658955723.813430,44,-45
1658955723.816140,44,-43
1658955724.186270,44,-39
1658955724.188070,44,-39
1658955724.189240,44,-39
1658955724.224760,44,-39
1658955724.224760,44,-39
1658955724.288620,44,-39
1658955724.542810,44,-47
1658955724.542820,44,-49
1658955724.830550,44,-45
1658955724.830560,44,-45
1658955724.831710,44,-45
1658955724.931070,36,-43
1658955725.053750,36,-45
1658955725.057460,44,-43
1658955726.920970,36,-47
1658955726.920970,36,-47
1658955727.024720,36,-49
1658955727.131270,36,-51
1658955727.363750,36,-51
1658955727.365360,36,-51
1658955727.467460,36,-49
1658955727.470670,36,-47
1658955727.470670,36,-47
1658955727.819730,36,-49
1658955728.010580,36,-45
1658955728.125840,36,-45
1658955728.506380,36,-45
1658955728.506380,36,-43
1658955728.536110,36,-43
1658955728.539170,36,-45
1658955728.943580,36,-43
1658955729.054400,36,-43
1658955729.106510,40,-42
1658955729.161600,36,-43
1658955729.253840,36,-39
1658955729.602570,36,-43
1658955729.608700,36,-39
1658955729.642120,36,-43
1658955729.716010,36,-47
1658955729.718860,36,-43
1658955729.720590,36,-39
1658955729.720600,36,-43
1658955729.934260,36,-39
1658955730.265080,36,-39
1658955730.268660,36,-39
1658955730.362360,36,-35
1658955730.374690,36,-39
1658955730.616300,36,-47
1658955730.700200,36,-43
1658955730.701930,36,-43
1658955730.772980,36,-39
1658955730.870470,44,-39
1658955731.766280,40,-71
1658955731.770800,40,-43
1658955731.772480,44,-39
1658955732.035680,36,-39
1658955732.223550,36,-47
1658955732.716270,36,-45
1658955732.803460,36,-43
1658955732.803460,36,-43
1658955732.804550,36,-43
1658955732.896800,36,-41
1658955733.243590,36,-43
1658955733.249370,36,-45
1658955733.309390,36,-47
1658955733.462390,36,-43
1658955733.575580,36,-45
1658955733.709170,36,-43
1658955733.711270,36,-43
1658955733.712320,36,-43
1658955733.805730,44,-45
1658955733.806880,44,-41
1658955734.783810,36,-39
1658955734.907630,36,-37
1658955735.002810,36,-37
1658955735.083820,36,-35
1658955735.442880,36,-35
1658955735.448280,36,-35
1658955735.556950,36,-39
1658955735.558710,36,-39
1658955735.558720,36,-39
1658955738.417880,44,-39
1658955738.491800,36,-39
1658955738.613800,36,-39
1658955738.613800,36,-39
1658955738.615110,44,-39
1658955738.654360,44,-39
1658955738.704170,40,-42
1658955738.722310,36,-35
1658955738.723770,36,-37
1658955738.727060,36,-37
1658955738.834060,36,-39
1658955738.834060,36,-39
1658955738.834060,36,-39
1658955738.835200,36,-39
1658955738.939940,36,-39
1658955739.109800,36,-35
1658955739.109810,36,-71
1658955739.112290,36,-35
1658955739.112300,36,-39
1658955739.161720,36,-39
1658955739.273060,36,-39
1658955739.380310,36,-43
1658955739.513360,36,-43
1658955739.601110,36,-43
1658955739.849920,36,-43
1658955739.933980,36,-43
1658955740.043980,36,-43
1658955740.153890,36,-43
1658955740.375650,36,-39
1658955740.375660,36,-39
1658955740.487650,36,-43
1658955740.489060,36,-45
1658955740.684830,44,-43
1658955741.579900,36,-39
1658955741.701840,36,-43
1658955741.701850,36,-43
1658955741.701850,36,-43
1658955741.703060,36,-43
1658955741.703070,36,-45
1658955741.703070,44,-43
1658955741.804500,36,-43
1658955741.804500,36,-45
1658955741.804510,36,-43
1658955741.969660,44,-43
1658955741.997530,4,-43
1658955741.997530,4,-43
1658955741.999110,4,-43
1658955742.582390,44,-47
1658955742.692270,36,-45
1658955742.796180,36,-43
1658955742.908590,36,-43
1658955743.016990,36,-45
1658955743.122170,36,-45
1658955743.238360,36,-45
1658955743.343010,36,-43
1658955743.456150,36,-43
1658955743.563530,36,-43
1658955743.676340,36,-43
1658955743.783000,36,-43
1658955744.012740,36,-43
1658955744.116970,36,-45
1658955744.116970,36,-47
1658955744.223160,36,-45
1658955744.223160,36,-47
1658955744.338190,36,-47
1658955744.445770,36,-47
1658955744.445770,36,-43
1658955744.556140,36,-45
1658955744.663630,36,-47
1658955744.775410,36,-45
1658955744.883980,36,-47
1658955744.998150,36,-47
1658955745.103010,36,-47
1658955745.216140,36,-47
1658955745.323130,36,-47
1658955745.323130,36,-45
1658955745.324900,40,-47
1658955745.436130,36,-47
1658955745.436130,36,-47
1658955745.438010,36,-47
1658955745.439480,44,-47
1658955745.543000,36,-47
1658955745.657630,36,-47
1658955745.763070,36,-47
1658955745.891390,36,-43
1658955745.983090,36,-45
1658955746.097090,36,-43
1658955746.203700,36,-47
1658955746.266210,36,-45
1658955746.268320,36,-45
1658955746.268320,36,-47
1658955746.269690,36,-45
1658955746.269700,36,-45
1658955746.316130,36,-47
1658955746.422840,36,-47
1658955746.536090,36,-47
1658955746.642990,36,-47
1658955746.862140,36,-47
1658955746.976120,36,-47
1658955747.082990,36,-45
1658955747.196220,36,-45
1658955747.303000,36,-43
1658955747.416220,36,-47
1658955747.659550,36,-47
1658955748.075020,36,-47
1658955748.090080,36,-47
1658955748.162980,36,-47
1658955748.186100,36,-47
1658955748.408730,36,-47
1658955748.547530,32,-64
1658955748.735710,36,-45
1658955748.740230,36,-43
1658955748.845450,36,-43
1658955748.953150,36,-43
1658955749.394220,36,-43
1658955749.400730,36,-45
1658955749.515240,36,-43
1658955749.613030,36,-43
1658955749.613030,36,-45
1658955749.707580,36,-43
1658955750.054910,36,-43
1658955750.082590,36,-39
1658955750.166100,36,-39
1658955750.166100,36,-39
1658955750.167470,36,-39
1658955750.167470,36,-43
1658955750.168870,36,-41
1658955750.170220,36,-41
1658955750.272960,36,-43
1658955750.714200,36,-43
1658955750.721630,36,-43
1658955750.722960,36,-45
1658955750.826070,36,-39
1658955750.920000,44,-43
1658955751.269200,44,-43
1658955751.300980,40,-41
1658955751.300980,40,0
1658955751.300990,40,-42
1658955751.300990,40,0
1658955751.465430,36,-43
1658955751.577330,36,-39
1658955751.690110,36,-43
1658955751.708750,36,-43
1658955752.000370,36,-43
1658955752.017490,36,-43
1658955752.145850,36,-41
1658955752.145860,36,-39
1658955752.145870,36,-39
1658955752.238590,36,-43
1658955752.238590,36,-43
1658955752.240140,36,-41
1658955752.351420,36,-39
1658955752.353420,36,-43
1658955752.353430,36,-45
1658955752.356070,36,-39
1658955752.641190,36,-39
1658955752.683900,36,-39
1658955752.733440,40,-46
1658955752.733450,40,-46
1658955752.784210,36,-39
1658955753.231270,36,-39
1658955753.282950,36,-39
1658955753.337330,36,-39
1658955753.447680,36,-43
1658955753.547860,36,-39
1658955753.887350,36,-43
1658955753.887350,36,-43
1658955753.998720,36,-43
1658955754.104760,36,-41
1658955754.166230,36,-39
1658955754.545430,36,-43
1658955754.551050,36,-43
1658955754.562920,36,-45
1658955754.657270,36,-39
1658955754.764250,36,-43
1658955754.764260,36,-43
1658955754.765850,36,-43
1658955754.765850,36,-39
1658955754.767530,36,-43
1658955754.808510,36,-43
1658955754.808510,36,-43
1658955755.205420,36,-43
1658955755.319100,36,-43
1658955755.320720,36,-43
1658955755.321970,36,-39
1658955755.321970,36,-43
1658955755.424180,36,-43
1658955755.865410,36,-39
1658955755.978470,36,-39
1658955756.093030,36,-43
1658955756.108610,36,-43
1658955756.549250,36,-43
1658955756.550790,36,-43
1658955756.636210,36,-39
1658955756.744170,36,-39
1658955756.771750,36,-39
1658955757.185430,36,-39
1658955757.297290,36,-39
1658955757.404170,36,-39
1658955757.404170,36,-39
1658955757.407190,36,-39
1658955757.427990,36,-39
1658955757.429460,36,-39
1658955757.957260,36,-39
1658955758.066200,36,-39
1658955758.094140,36,-41
1658955758.505490,36,-39
1658955758.617950,36,-39
1658955758.724770,36,-43
1658955758.748580,36,-39
1658955759.041020,36,-43
1658955759.041030,36,-43
1658955759.057330,36,-39
1658955759.164120,36,-43
1658955759.277740,36,-43
1658955759.384130,36,-39
1658955759.397570,36,-43
1658955759.399630,36,-43
1658955759.401370,36,-39
1658955759.720790,36,-39
1658955759.825780,36,-39
1658955759.928760,36,-43
1658955759.928770,36,-43
1658955760.265680,36,-43
1658955760.271680,36,-39
1658955760.323020,36,-43
