timestamp,event subtype,RSSI
1657742530.576190,44,-39
1657742530.985170,44,-37
1657742531.029730,44,-39
1657742531.876820,44,-39
1657742531.924490,44,-39
1657742533.669540,44,-39
1657742533.676510,13,-39
1657742533.679230,13,-39
1657742533.683150,13,-39
1657742533.714560,44,-39
1657742535.303160,40,-39
1657742535.307580,44,-39
1657742535.314980,13,-39
1657742535.352040,44,-39
1657742537.346930,44,-39
1657742537.388970,44,-37
1657742537.494130,44,-39
1657742537.538460,44,-39
1657742539.226750,44,-37
1657742539.271320,44,-39
1657742541.117800,44,-37
1657742541.363760,44,-37
1657742542.535520,44,-37
1657742542.678790,44,-37
1657742542.761100,44,-37
1657742542.806340,44,-37
1657742542.980780,44,-39
1657742543.023340,44,-39
1657742543.060640,44,-39
1657742543.102580,44,-39
1657742543.198280,44,-39
1657742543.242080,44,-39
1657742543.653970,44,-39
1657742543.696200,44,-39
1657742544.517060,44,-39
1657742544.559690,44,-39
1657742544.891430,44,-39
1657742544.894150,13,-39
1657742544.937460,44,-39
1657742544.980930,44,-39
1657742546.223760,44,-39
1657742546.230300,40,-37
1657742546.266320,44,-37
1657742546.307120,44,-37
1657742546.452850,44,-37
1657742563.538380,44,-35
1657742563.580230,44,-39
1657742575.918360,44,-37
1657742576.065640,44,-37
1657742580.627780,44,-39
1657742580.725610,40,-39
1657742580.871790,44,-39
1657742581.325960,44,-39
1657742581.368480,44,-39
1657742584.015060,44,-35
1657742584.058510,44,-39
1657742602.453810,44,-39
1657742602.495440,44,-39
1657742602.548560,44,-39
1657742602.590490,44,-39
1657742602.593300,44,-39
1657742602.637120,44,-39
1657742602.947630,44,-37
1657742603.090900,44,-37
1657742604.297980,44,-39
1657742604.342150,44,-39
1657742607.739840,44,-39
1657742607.785600,44,-39
1657742607.787910,44,-39
1657742607.831360,44,-39
1657742608.062120,40,-39
1657742608.063530,44,-39
1657742608.207790,44,-39
1657742614.623650,44,-39
1657742614.666140,44,-39
1657742621.136980,44,-39
1657742641.329820,44,-39
1657742641.372220,44,-39
1657742662.090370,44,-35
1657742662.134730,44,-39
1657742666.127870,44,-39
1657742666.171630,44,-39
1657742666.173630,44,-39
1657742666.216020,44,-39
1657742666.465120,44,-39
1657742666.510300,44,-39
1657742666.583070,44,-39
1657742666.625790,44,-39
1657742666.944360,44,-39
1657742666.986920,44,-39
1657742667.060290,44,-39
1657742667.325360,40,-43
1657742667.326440,40,-42
1657742667.326450,40,-42
1657742667.711890,44,-39
1657742667.968490,44,-39
1657742667.974620,40,-42
1657742668.112000,44,-39
1657742672.374470,44,-37
1657742672.378460,40,-39
1657742672.417970,44,-39
1657742682.570210,44,-39
1657742682.612670,44,-39
1657742702.747220,44,-37
1657742702.790620,44,-37
1657742714.765970,44,-39
1657742714.808440,44,-39
1657742723.572550,44,-39
1657742741.454010,44,-37
1657742741.496450,44,-37
1657742755.314450,44,-39
1657742755.320870,13,-39
1657742755.564110,44,-37
1657742760.126410,44,-39
1657742760.131390,40,-39
1657742760.170210,44,-41
1657742761.377850,44,-39
1657742761.420610,44,-41
1657742782.404830,44,-41
1657742782.447460,44,-39
1657742793.200490,44,-39
1657742793.243910,44,-39
1657742800.407610,44,-39
1657742800.552210,44,-39
1657742800.774850,44,-39
1657742800.817260,44,-39
1657742800.831260,44,-39
1657742800.872040,44,-39
1657742802.884280,44,-39
1657742802.925860,44,-37
1657742804.463370,44,-39
1657742804.606300,44,-39
1657742805.795190,44,-39
1657742805.937740,44,-37
1657742809.583200,44,-39
1657742809.588220,40,-39
1657742809.589550,40,-39
1657742809.626820,44,-39
1657742822.226400,40,-39
1657742822.227730,44,-39
1657742822.270780,44,-39
1657742823.363130,44,-41
1657742823.405690,44,-39
1657742835.694430,44,-37
1657742835.736890,44,-39
1657742835.779920,40,-39
1657742835.781420,44,-39
1657742835.823680,44,-39
1657742836.077780,44,-39
1657742836.222610,44,-39
1657742836.222620,44,-39
1657742843.846180,44,-37
1657742843.888910,44,-37
1657742861.763320,44,-37
1657742861.805760,44,-39
1657742880.680540,44,-39
