timestamp,event subtype,RSSI
1657226315.762970,44,-37
1657226326.241990,44,-37
1657226326.262240,40,-43
1657226326.285000,44,-37
1657226326.406340,40,-44
1657226326.410060,44,-37
1657226326.452690,44,-37
1657226326.696990,40,-44
1657226326.697000,40,-44
1657226326.700640,44,-37
1657226326.728380,40,-40
1657226326.728390,40,-41
1657226326.751430,40,-43
1657226326.754110,40,-43
1657226326.755880,40,-43
1657226326.757650,40,-40
1657226326.786690,40,-40
1657226326.786690,40,0
1657226326.786690,40,0
1657226326.787900,40,-43
1657226326.787900,40,0
1657226326.787900,40,0
1657226326.804900,40,-43
1657226326.829810,40,-43
1657226326.829820,40,0
1657226326.831320,40,-41
1657226326.845510,40,-41
1657226326.849160,40,-41
1657226326.853950,40,-43
1657226326.853950,40,0
1657226326.867410,40,-41
1657226326.867420,40,0
1657226326.867420,40,0
1657226326.868620,13,-37
1657226326.881200,40,-42
1657226326.885740,40,-41
1657226326.885740,40,-40
1657226326.904070,40,-41
1657226326.904070,40,-43
1657226326.933220,40,-41
1657226326.944940,13,-37
1657226326.952780,40,-41
1657226326.957990,40,-43
1657226326.978690,40,-40
1657226326.978690,40,0
1657226326.979730,40,-40
1657226326.979740,40,-43
1657226326.983540,40,-41
1657226327.000360,40,-41
1657226327.014120,40,-43
1657226327.036000,40,-41
1657226327.036010,40,-41
1657226327.037520,40,-40
1657226327.051390,40,-40
1657226327.102600,40,-41
1657226327.119760,40,-40
1657226327.119760,40,0
1657226327.133540,40,-41
1657226327.160700,40,-41
1657226327.161860,40,-41
1657226327.174440,40,-41
1657226327.185350,40,-41
1657226327.205220,40,-41
1657226327.209990,40,-43
1657226327.209990,40,0
1657226327.209990,40,0
1657226327.209990,40,0
1657226327.210000,40,-43
1657226327.210000,40,0
1657226327.216350,40,-40
1657226327.226710,40,-41
1657226327.235900,40,-41
1657226327.238420,40,-41
1657226327.251480,40,-43
1657226327.258950,40,-41
1657226327.277210,40,-41
1657226327.277220,40,-43
1657226327.303900,40,-43
1657226327.424940,40,-43
1657226327.424940,40,-43
1657226327.450260,44,-35
1657226327.482720,40,-43
1657226327.482730,44,-37
1657226327.525780,44,-37
1657226327.670010,44,-35
1657226327.682960,40,-41
1657226327.682970,40,0
1657226327.682970,40,0
1657226327.682970,40,0
1657226327.682970,40,0
1657226327.682970,40,0
1657226327.682970,40,0
1657226327.682980,40,-41
1657226327.682980,40,0
1657226327.684360,40,-42
1657226327.684360,40,0
1657226327.687360,40,-40
1657226327.687370,40,-40
